제목(title),가격(price),link (from 인기 차트 - Google Play 영화)
이웃사촌,"₩11,000",https://play.google.com/store/movies/details/%EC%9D%B4%EC%9B%83%EC%82%AC%EC%B4%8C?id=KsQo7hTDDjM.P
존윅 3: 파라벨룸,"₩5,000",https://play.google.com/store/movies/details/%EC%A1%B4%EC%9C%85_3_%ED%8C%8C%EB%9D%BC%EB%B2%A8%EB%A3%B8?id=eDVvg9VQfwc.P
50가지 그림자:해방 (자막판),"₩1,000",https://play.google.com/store/movies/details/50%EA%B0%80%EC%A7%80_%EA%B7%B8%EB%A6%BC%EC%9E%90_%ED%95%B4%EB%B0%A9_%EC%9E%90%EB%A7%89%ED%8C%90?id=v7kFWCdfx0U
존 윅-리로드,"₩1,200",https://play.google.com/store/movies/details/%EC%A1%B4_%EC%9C%85_%EB%A6%AC%EB%A1%9C%EB%93%9C?id=nlnPjlq83uA
포드 V 페라리 (자막판),"₩2,500",https://play.google.com/store/movies/details/%ED%8F%AC%EB%93%9C_V_%ED%8E%98%EB%9D%BC%EB%A6%AC_%EC%9E%90%EB%A7%89%ED%8C%90?id=80juQ7aaApQ
런,"₩10,000",https://play.google.com/store/movies/details/%EB%9F%B0?id=FgA1kfjAeEg.P
스파이더맨: 파 프롬 홈 (자막판),"₩1,800",https://play.google.com/store/movies/details/%EC%8A%A4%ED%8C%8C%EC%9D%B4%EB%8D%94%EB%A7%A8_%ED%8C%8C_%ED%94%84%EB%A1%AC_%ED%99%88_%EC%9E%90%EB%A7%89%ED%8C%90?id=zsehQ83TtjI
씽 (더빙판),"₩1,000",https://play.google.com/store/movies/details/%EC%94%BD_%EB%8D%94%EB%B9%99%ED%8C%90?id=FQo22sjYVvM
날씨의 아이 (더빙),"₩2,500",https://play.google.com/store/movies/details/%EB%82%A0%EC%94%A8%EC%9D%98_%EC%95%84%EC%9D%B4_%EB%8D%94%EB%B9%99?id=_SCfBKeagxY.P
드래곤 길들이기 3 (더빙판),"₩1,000",https://play.google.com/store/movies/details/%EB%93%9C%EB%9E%98%EA%B3%A4_%EA%B8%B8%EB%93%A4%EC%9D%B4%EA%B8%B0_3_%EB%8D%94%EB%B9%99%ED%8C%90?id=KB_vEx6-cR8
뉴 뮤턴트,"₩4,500",https://play.google.com/store/movies/details/%EB%89%B4_%EB%AE%A4%ED%84%B4%ED%8A%B8?id=kIolBOkPxos.P
레디 플레이어 원,"₩1,200",https://play.google.com/store/movies/details/%EB%A0%88%EB%94%94_%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4_%EC%9B%90?id=CFrQfadxXqQ.P
스파이더맨: 홈커밍 (자막판),₩900,https://play.google.com/store/movies/details/%EC%8A%A4%ED%8C%8C%EC%9D%B4%EB%8D%94%EB%A7%A8_%ED%99%88%EC%BB%A4%EB%B0%8D_%EC%9E%90%EB%A7%89%ED%8C%90?id=mO168Yp2IF0
아쿠아맨,"₩1,200",https://play.google.com/store/movies/details/%EC%95%84%EC%BF%A0%EC%95%84%EB%A7%A8?id=ORQx1nhGL8M.P
분노의 질주: 홉스 & 쇼,"₩1,000",https://play.google.com/store/movies/details/%EB%B6%84%EB%85%B8%EC%9D%98_%EC%A7%88%EC%A3%BC_%ED%99%89%EC%8A%A4_%EC%87%BC?id=NN6eEDq_Urk
반도,"₩4,000",https://play.google.com/store/movies/details/%EB%B0%98%EB%8F%84?id=O8P_beWB8_w.P
겨울왕국 (더빙판),"₩1,200",https://play.google.com/store/movies/details/%EA%B2%A8%EC%9A%B8%EC%99%95%EA%B5%AD_%EB%8D%94%EB%B9%99%ED%8C%90?id=gTgy45QMOGA
메이즈 러너: 데스 큐어 (자막판),"₩1,400",https://play.google.com/store/movies/details/%EB%A9%94%EC%9D%B4%EC%A6%88_%EB%9F%AC%EB%84%88_%EB%8D%B0%EC%8A%A4_%ED%81%90%EC%96%B4_%EC%9E%90%EB%A7%89%ED%8C%90?id=2noH4ZoA8lU
그린치 (자막판),"₩1,000",https://play.google.com/store/movies/details/%EA%B7%B8%EB%A6%B0%EC%B9%98_%EC%9E%90%EB%A7%89%ED%8C%90?id=eKzbfFps1u8
검객,"₩5,000",https://play.google.com/store/movies/details/%EA%B2%80%EA%B0%9D?id=46dGMOK4T6w.P
그레이의 50가지 그림자,"₩1,000",https://play.google.com/store/movies/details/%EA%B7%B8%EB%A0%88%EC%9D%B4%EC%9D%98_50%EA%B0%80%EC%A7%80_%EA%B7%B8%EB%A6%BC%EC%9E%90?id=UnYwTM49j5s
